source_id,target_id,link_type
tests/test_manifest.py::test_validate_manifest_against_local_schema,os.path.dirname,CALLS
tests/test_manifest.py::test_validate_manifest_against_local_schema,open,CALLS
tests/test_manifest.py::test_validate_manifest_against_local_schema,json.load,CALLS
tests/test_manifest.py::test_validate_manifest_against_local_schema,validate,CALLS
tests/test_manifest.py::test_validate_manifest_against_remote_schema,os.path.join,CALLS
tests/test_manifest.py::test_validate_manifest_against_remote_schema,os.path.dirname,CALLS
tests/test_manifest.py::test_validate_manifest_against_remote_schema,open,CALLS
tests/test_manifest.py::test_validate_manifest_against_remote_schema,json.load,CALLS
tests/test_manifest.py::test_validate_manifest_against_remote_schema,validate,CALLS
pytest.mark.parametrize,tests/test_manifest.py::test_site_list_iterability,DECORATES
tests/sherlock_interactives.py,os,IMPORTS
tests/sherlock_interactives.py,platform,IMPORTS
tests/sherlock_interactives.py,re,IMPORTS
tests/sherlock_interactives.py,subprocess,IMPORTS
tests/sherlock_interactives.py::Interactives::run_cli,platform.system,CALLS
tests/sherlock_interactives.py::Interactives::run_cli,subprocess.check_output,CALLS
tests/sherlock_interactives.py::Interactives::run_cli,proc_out.decode,CALLS
tests/sherlock_interactives.py::Interactives::run_cli,InteractivesSubprocessError,CALLS
tests/sherlock_interactives.py::Interactives::run_cli,e.output.decode,CALLS
tests/sherlock_interactives.py::Interactives::walk_sherlock_for_files_with,re.compile,CALLS
tests/sherlock_interactives.py::Interactives::walk_sherlock_for_files_with,os.walk,CALLS
tests/sherlock_interactives.py::Interactives::walk_sherlock_for_files_with,os.path.join,CALLS
tests/sherlock_interactives.py::Interactives::walk_sherlock_for_files_with,open,CALLS
tests/sherlock_interactives.py::Interactives::walk_sherlock_for_files_with,pattern.search,CALLS
tests/sherlock_interactives.py::Interactives::walk_sherlock_for_files_with,f.read,CALLS
tests/sherlock_interactives.py::Interactives::walk_sherlock_for_files_with,matching_files.append,CALLS
tests/sherlock_interactives.py::InteractivesSubprocessError,Exception,INHERITS
tests/test_probes.py,pytest,IMPORTS
tests/test_probes.py,random,IMPORTS
tests/test_probes.py,string,IMPORTS
tests/test_probes.py,re,IMPORTS
tests/test_probes.py,sherlock_project.sherlock,IMPORTS
tests/test_probes.py,sherlock_project.notify,IMPORTS
tests/test_probes.py,sherlock_project.result,IMPORTS
tests/test_probes.py::simple_query,QueryNotify,CALLS
tests/test_probes.py::simple_query,sherlock,CALLS
tests/test_probes.py::TestLiveTargets::test_known_positives_via_message,simple_query,CALLS
pytest.mark.parametrize,tests/test_probes.py::TestLiveTargets::test_known_positives_via_message,DECORATES
tests/test_probes.py::TestLiveTargets::test_known_positives_via_status_code,simple_query,CALLS
pytest.mark.parametrize,tests/test_probes.py::TestLiveTargets::test_known_positives_via_status_code,DECORATES
tests/test_probes.py::TestLiveTargets::test_known_positives_via_response_url,simple_query,CALLS
pytest.mark.parametrize,tests/test_probes.py::TestLiveTargets::test_known_positives_via_response_url,DECORATES
tests/test_probes.py::TestLiveTargets::test_likely_negatives_via_message,range,CALLS
tests/test_probes.py::TestLiveTargets::test_likely_negatives_via_message,''.join,CALLS
tests/test_probes.py::TestLiveTargets::test_likely_negatives_via_message,random.choice,CALLS
tests/test_probes.py::TestLiveTargets::test_likely_negatives_via_message,attempted_usernames.append,CALLS
tests/test_probes.py::TestLiveTargets::test_likely_negatives_via_message,simple_query,CALLS
pytest.mark.parametrize,tests/test_probes.py::TestLiveTargets::test_likely_negatives_via_message,DECORATES
tests/test_probes.py::TestLiveTargets::test_likely_negatives_via_status_code,range,CALLS
tests/test_probes.py::TestLiveTargets::test_likely_negatives_via_status_code,''.join,CALLS
tests/test_probes.py::TestLiveTargets::test_likely_negatives_via_status_code,random.choice,CALLS
tests/test_probes.py::TestLiveTargets::test_likely_negatives_via_status_code,attempted_usernames.append,CALLS
tests/test_probes.py::TestLiveTargets::test_likely_negatives_via_status_code,simple_query,CALLS
pytest.mark.parametrize,tests/test_probes.py::TestLiveTargets::test_likely_negatives_via_status_code,DECORATES
tests/test_probes.py::test_username_illegal_regex,re.compile,CALLS
tests/test_probes.py::test_username_illegal_regex,pattern.match,CALLS
tests/test_probes.py::test_username_illegal_regex,simple_query,CALLS
tests/conftest.py,os,IMPORTS
tests/conftest.py,json,IMPORTS
tests/conftest.py,urllib,IMPORTS
tests/conftest.py,pytest,IMPORTS
tests/conftest.py,sherlock_project.sites,IMPORTS
tests/conftest.py::fetch_local_manifest,SitesInformation,CALLS
tests/conftest.py::fetch_local_manifest,os.path.join,CALLS
tests/conftest.py::fetch_local_manifest,os.path.dirname,CALLS
tests/conftest.py::sites_obj,SitesInformation,CALLS
tests/conftest.py::sites_obj,os.path.join,CALLS
tests/conftest.py::sites_obj,os.path.dirname,CALLS
pytest.fixture,tests/conftest.py::sites_obj,DECORATES
tests/conftest.py::sites_info,fetch_local_manifest,CALLS
pytest.fixture,tests/conftest.py::sites_info,DECORATES
tests/conftest.py::remote_schema,urllib.request.urlopen,CALLS
tests/conftest.py::remote_schema,json.load,CALLS
pytest.fixture,tests/conftest.py::remote_schema,DECORATES
tests/conftest.py::pytest_addoption,parser.addoption,CALLS
tests/conftest.py::pytest_generate_tests,fetch_local_manifest,CALLS
tests/conftest.py::pytest_generate_tests,metafunc.config.getoption,CALLS
tests/conftest.py::pytest_generate_tests,site.strip,CALLS
tests/conftest.py::pytest_generate_tests,site_filter.split,CALLS
tests/conftest.py::pytest_generate_tests,sites_info.items,CALLS
tests/conftest.py::pytest_generate_tests,list,CALLS
tests/conftest.py::pytest_generate_tests,sites_info.keys,CALLS
tests/conftest.py::pytest_generate_tests,metafunc.parametrize,CALLS
tests/few_test_basic.py,sherlock_project,IMPORTS
tests/few_test_basic.py::test_username_via_message,sherlock_project.__main__,CALLS
tests/test_ux.py,pytest,IMPORTS
tests/test_ux.py,sherlock_project,IMPORTS
tests/test_ux.py,sherlock_interactives,IMPORTS
tests/test_ux.py::test_remove_nsfw,sites_obj.remove_nsfw_sites,CALLS
tests/test_ux.py::test_nsfw_explicit_selection,sites_obj.remove_nsfw_sites,CALLS
pytest.mark.parametrize,tests/test_ux.py::test_nsfw_explicit_selection,DECORATES
tests/test_ux.py::test_wildcard_username_expansion,sherlock.check_for_parameter,CALLS
tests/test_ux.py::test_wildcard_username_expansion,sherlock.multiple_usernames,CALLS
tests/test_ux.py::test_no_usernames_provided,pytest.raises,CALLS
tests/test_ux.py::test_no_usernames_provided,Interactives.run_cli,CALLS
pytest.mark.parametrize,tests/test_ux.py::test_no_usernames_provided,DECORATES
sherlock_project/sherlock.py,sys,IMPORTS
sherlock_project/sherlock.py,sherlock_project.__init__,IMPORTS
sherlock_project/sherlock.py,csv,IMPORTS
sherlock_project/sherlock.py,signal,IMPORTS
sherlock_project/sherlock.py,pandas,IMPORTS
sherlock_project/sherlock.py,os,IMPORTS
sherlock_project/sherlock.py,re,IMPORTS
sherlock_project/sherlock.py,argparse,IMPORTS
sherlock_project/sherlock.py,json,IMPORTS
sherlock_project/sherlock.py,time,IMPORTS
sherlock_project/sherlock.py,typing,IMPORTS
sherlock_project/sherlock.py,requests,IMPORTS
sherlock_project/sherlock.py,requests_futures.sessions,IMPORTS
sherlock_project/sherlock.py,sherlock_project.result,IMPORTS
sherlock_project/sherlock.py,sherlock_project.notify,IMPORTS
sherlock_project/sherlock.py,sherlock_project.sites,IMPORTS
sherlock_project/sherlock.py,colorama,IMPORTS
sherlock_project/sherlock.py::SherlockFuturesSession,FuturesSession,INHERITS
sherlock_project/sherlock.py::SherlockFuturesSession::request,monotonic,CALLS
sherlock_project/sherlock.py::SherlockFuturesSession::request,isinstance,CALLS
sherlock_project/sherlock.py::SherlockFuturesSession::request,"hooks[""response""].insert",CALLS
sherlock_project/sherlock.py::SherlockFuturesSession::request,list,CALLS
sherlock_project/sherlock.py::SherlockFuturesSession::request,"super(SherlockFuturesSession, self).request",CALLS
sherlock_project/sherlock.py::SherlockFuturesSession::request::response_time,monotonic,CALLS
sherlock_project/sherlock.py::get_response,request_future.result,CALLS
sherlock_project/sherlock.py::get_response,str,CALLS
sherlock_project/sherlock.py::interpolate_string,isinstance,CALLS
sherlock_project/sherlock.py::interpolate_string,input_object.replace,CALLS
sherlock_project/sherlock.py::interpolate_string,interpolate_string,CALLS
sherlock_project/sherlock.py::interpolate_string,input_object.items,CALLS
sherlock_project/sherlock.py::multiple_usernames,allUsernames.append,CALLS
sherlock_project/sherlock.py::multiple_usernames,username.replace,CALLS
sherlock_project/sherlock.py::sherlock,query_notify.start,CALLS
sherlock_project/sherlock.py::sherlock,requests.session,CALLS
sherlock_project/sherlock.py::sherlock,len,CALLS
sherlock_project/sherlock.py::sherlock,SherlockFuturesSession,CALLS
sherlock_project/sherlock.py::sherlock,site_data.items,CALLS
sherlock_project/sherlock.py::sherlock,net_info.get,CALLS
sherlock_project/sherlock.py::sherlock,headers.update,CALLS
sherlock_project/sherlock.py::sherlock,interpolate_string,CALLS
sherlock_project/sherlock.py::sherlock,username.replace,CALLS
sherlock_project/sherlock.py::sherlock,re.search,CALLS
sherlock_project/sherlock.py::sherlock,QueryResult,CALLS
sherlock_project/sherlock.py::sherlock,query_notify.update,CALLS
sherlock_project/sherlock.py::sherlock,RuntimeError,CALLS
sherlock_project/sherlock.py::sherlock,request,CALLS
sherlock_project/sherlock.py::sherlock,results_total.get,CALLS
sherlock_project/sherlock.py::sherlock,results_site.get,CALLS
sherlock_project/sherlock.py::sherlock,isinstance,CALLS
sherlock_project/sherlock.py::sherlock,get_response,CALLS
sherlock_project/sherlock.py::sherlock,r.text.encode,CALLS
sherlock_project/sherlock.py::sherlock,any,CALLS
sherlock_project/sherlock.py::sherlock,print,CALLS
sherlock_project/sherlock.py::sherlock,str,CALLS
sherlock_project/sherlock.py::timeout_check,float,CALLS
sherlock_project/sherlock.py::timeout_check,ArgumentTypeError,CALLS
sherlock_project/sherlock.py::handler,sys.exit,CALLS
sherlock_project/sherlock.py::main,ArgumentParser,CALLS
sherlock_project/sherlock.py::main,parser.add_argument,CALLS
sherlock_project/sherlock.py::main,parser.parse_args,CALLS
sherlock_project/sherlock.py::main,signal.signal,CALLS
sherlock_project/sherlock.py::main,requests.get,CALLS
sherlock_project/sherlock.py::main,json_loads,CALLS
sherlock_project/sherlock.py::main,print,CALLS
sherlock_project/sherlock.py::main,init,CALLS
sherlock_project/sherlock.py::main,sys.exit,CALLS
sherlock_project/sherlock.py::main,len,CALLS
sherlock_project/sherlock.py::main,SitesInformation,CALLS
sherlock_project/sherlock.py::main,os.path.join,CALLS
sherlock_project/sherlock.py::main,os.path.dirname,CALLS
sherlock_project/sherlock.py::main,args.json_file.isnumeric,CALLS
sherlock_project/sherlock.py::main,sites.remove_nsfw_sites,CALLS
sherlock_project/sherlock.py::main,site.lower,CALLS
sherlock_project/sherlock.py::main,existing_site.lower,CALLS
sherlock_project/sherlock.py::main,site_missing.append,CALLS
sherlock_project/sherlock.py::main,"', '.join",CALLS
sherlock_project/sherlock.py::main,QueryNotifyPrint,CALLS
sherlock_project/sherlock.py::main,check_for_parameter,CALLS
sherlock_project/sherlock.py::main,multiple_usernames,CALLS
sherlock_project/sherlock.py::main,all_usernames.append,CALLS
sherlock_project/sherlock.py::main,sherlock,CALLS
sherlock_project/sherlock.py::main,os.makedirs,CALLS
sherlock_project/sherlock.py::main,open,CALLS
sherlock_project/sherlock.py::main,dictionary.get,CALLS
sherlock_project/sherlock.py::main,file.write,CALLS
sherlock_project/sherlock.py::main,csv.writer,CALLS
sherlock_project/sherlock.py::main,writer.writerow,CALLS
sherlock_project/sherlock.py::main,str,CALLS
sherlock_project/sherlock.py::main,response_time_s.append,CALLS
sherlock_project/sherlock.py::main,usernames.append,CALLS
sherlock_project/sherlock.py::main,names.append,CALLS
sherlock_project/sherlock.py::main,url_main.append,CALLS
sherlock_project/sherlock.py::main,url_user.append,CALLS
sherlock_project/sherlock.py::main,exists.append,CALLS
sherlock_project/sherlock.py::main,http_status.append,CALLS
sherlock_project/sherlock.py::main,pd.DataFrame,CALLS
sherlock_project/sherlock.py::main,DataFrame.to_excel,CALLS
sherlock_project/sherlock.py::main,query_notify.finish,CALLS
sherlock_project/__init__.py,importlib.metadata,IMPORTS
sherlock_project/__init__.py,pathlib,IMPORTS
sherlock_project/__init__.py,tomli,IMPORTS
sherlock_project/__init__.py::get_version,pkg_version,CALLS
sherlock_project/__init__.py::get_version,pathlib.Path(__file__).resolve,CALLS
sherlock_project/__init__.py::get_version,pyproject_path.open,CALLS
sherlock_project/__init__.py::get_version,tomli.load,CALLS
sherlock_project/result.py,enum,IMPORTS
sherlock_project/result.py::QueryStatus,Enum,INHERITS
sherlock_project/result.py::QueryResult::__str__,str,CALLS
sherlock_project/__main__.py,sys,IMPORTS
sherlock_project/__main__.py,sherlock_project,IMPORTS
sherlock_project/notify.py,sherlock_project.result,IMPORTS
sherlock_project/notify.py,colorama,IMPORTS
sherlock_project/notify.py,webbrowser,IMPORTS
sherlock_project/notify.py::QueryNotify::__str__,str,CALLS
sherlock_project/notify.py::QueryNotifyPrint,QueryNotify,INHERITS
sherlock_project/notify.py::QueryNotifyPrint::__init__,super().__init__,CALLS
sherlock_project/notify.py::QueryNotifyPrint::start,print,CALLS
sherlock_project/notify.py::QueryNotifyPrint::update,round,CALLS
sherlock_project/notify.py::QueryNotifyPrint::update,self.countResults,CALLS
sherlock_project/notify.py::QueryNotifyPrint::update,print,CALLS
sherlock_project/notify.py::QueryNotifyPrint::update,webbrowser.open,CALLS
sherlock_project/notify.py::QueryNotifyPrint::update,ValueError,CALLS
sherlock_project/notify.py::QueryNotifyPrint::finish,self.countResults,CALLS
sherlock_project/notify.py::QueryNotifyPrint::finish,print,CALLS
sherlock_project/notify.py::QueryNotifyPrint::__str__,str,CALLS
sherlock_project/sites.py,json,IMPORTS
sherlock_project/sites.py,requests,IMPORTS
sherlock_project/sites.py,secrets,IMPORTS
sherlock_project/sites.py::SiteInformation::__init__,secrets.token_urlsafe,CALLS
sherlock_project/sites.py::SitesInformation::__init__,data_file_path.lower().endswith,CALLS
sherlock_project/sites.py::SitesInformation::__init__,FileNotFoundError,CALLS
sherlock_project/sites.py::SitesInformation::__init__,data_file_path.lower().startswith,CALLS
sherlock_project/sites.py::SitesInformation::__init__,requests.get,CALLS
sherlock_project/sites.py::SitesInformation::__init__,response.json,CALLS
sherlock_project/sites.py::SitesInformation::__init__,ValueError,CALLS
sherlock_project/sites.py::SitesInformation::__init__,open,CALLS
sherlock_project/sites.py::SitesInformation::__init__,json.load,CALLS
sherlock_project/sites.py::SitesInformation::__init__,site_data.pop,CALLS
sherlock_project/sites.py::SitesInformation::__init__,response.text.splitlines,CALLS
sherlock_project/sites.py::SitesInformation::__init__,exclusion.strip,CALLS
sherlock_project/sites.py::SitesInformation::__init__,exclusions.remove,CALLS
sherlock_project/sites.py::SitesInformation::__init__,print,CALLS
sherlock_project/sites.py::SitesInformation::__init__,SiteInformation,CALLS
sherlock_project/sites.py::SitesInformation::__init__,site_data[site_name].get,CALLS
sherlock_project/sites.py::SitesInformation::remove_nsfw_sites,site.casefold,CALLS
sherlock_project/sites.py::SitesInformation::site_name_list,sorted,CALLS
sherlock_project/sites.py::SitesInformation::__len__,len,CALLS
devel/site-list.py,json,IMPORTS
devel/site-list.py,os,IMPORTS
devel/summarize_site_validation.py,defusedxml,IMPORTS
devel/summarize_site_validation.py,sys,IMPORTS
devel/summarize_site_validation.py,pathlib,IMPORTS
devel/summarize_site_validation.py::summarize_junit_xml,ET.parse,CALLS
devel/summarize_site_validation.py::summarize_junit_xml,tree.getroot,CALLS
devel/summarize_site_validation.py::summarize_junit_xml,root.find,CALLS
devel/summarize_site_validation.py::summarize_junit_xml,ValueError,CALLS
devel/summarize_site_validation.py::summarize_junit_xml,summary_lines.append,CALLS
devel/summarize_site_validation.py::summarize_junit_xml,int,CALLS
devel/summarize_site_validation.py::summarize_junit_xml,suite.get,CALLS
devel/summarize_site_validation.py::summarize_junit_xml,suite.findall,CALLS
devel/summarize_site_validation.py::summarize_junit_xml,testcase.get('name').split,CALLS
devel/summarize_site_validation.py::summarize_junit_xml,testcase.get('name').split('[')[1].rstrip,CALLS
devel/summarize_site_validation.py::summarize_junit_xml,testcase.find,CALLS
devel/summarize_site_validation.py::summarize_junit_xml,results[result].get,CALLS
devel/summarize_site_validation.py::summarize_junit_xml,"""\n"".join",CALLS
